Date,Start,End,Open,High,Low,Close,Volume,Market Cap,Detrended
2022-12-08,2022-12-08,2022-12-09,16835.04923550135,17290.3,16791.27889230745,17254.841595411017,31326142820.794422,325363729467.9203,-2673.924721533229
2022-12-07,2022-12-07,2022-12-08,17089.81610929171,17096.3844,16746.3916,16838.047473161492,33628606812.444443,324422344915.8258,-3146.3687242003325
2022-12-06,2022-12-06,2022-12-07,16967.683779550847,17101.713469188366,16925.225101248896,17088.37611635709,33312994595.55556,326626901868.3153,-2951.6899614223184
2022-12-05,2022-12-05,2022-12-06,17112.095826545075,17391.96733663847,16884.1888,16959.336063823,33310234567.11111,329965811699.66473,-3136.3798943739857
2022-12-04,2022-12-04,2022-12-05,16880.830412966345,17144.100549809053,16880.830412966345,17130.165329487445,25946687018.666668,326979103201.65906,-3021.200509127124
2022-12-03,2022-12-03,2022-12-04,17092.1973,17122.7858,16876.10583144502,16903.723625317816,28422679969.44948,326144864089.2584,-3303.2920937143317
2022-12-02,2022-12-02,2022-12-03,16972.464618272137,17088.909103174137,16862.767959664725,17088.4265,33498051230.77352,325967434091.6198,-3174.2390994497255
2022-12-01,2022-12-01,2022-12-02,17165.41156726685,17214.3263,16883.1711,16956.1893,38788974492.44444,327771074759.1348,-3362.1261798673113
2022-11-30,2022-11-30,2022-12-01,16438.7456,17212.898261213835,16438.7456,17188.63467960707,44743059370.66666,324786816323.8256,-3185.33068067782
2022-11-29,2022-11-29,2022-11-30,16213.3896,16522.977471229282,16111.249696496165,16436.1924,52776387683.55556,315419507134.79785,-3993.4228407024675
2022-11-28,2022-11-28,2022-11-29,16425.2129114358,16481.7679,16044.1124,16212.403248220657,44930760967.11112,311557026058.74457,-4272.861872899393
2022-11-27,2022-11-27,2022-11-28,16457.253279063327,16593.459556800455,16419.021398214274,16432.36461511383,35423221802.81533,317875547190.54175,-4108.550386423798
2022-11-26,2022-11-26,2022-11-27,16513.9287,16683.874870359,16415.619927652573,16461.1945184485,39602744661.333336,318241327421.49585,-4135.37036350671
2022-11-25,2022-11-25,2022-11-26,16609.3759,16609.3759,16371.869099382937,16511.91127766036,40539647985.77778,316859810140.8318,-4140.303484712429
2022-11-24,2022-11-24,2022-11-25,16624.7795,16779.3432,16474.392576966395,16597.7313,51316136348.44444,318979069699.44324,-4110.13334279037
2022-11-23,2022-11-23,2022-11-24,16221.67,16652.2104,16167.2766,16615.2292,54191750385.77778,316451686349.8898,-4148.285323207951
2022-11-22,2022-11-22,2022-11-23,15781.030076108182,16260.7217,15666.2745,16174.9574,58615626723.55556,306392350546.7838,-4644.207003625532
2022-11-21,2022-11-21,2022-11-22,16286.8064,16286.8064,15598.4951,15779.971701749892,50201276579.55556,308166351834.29913,-5094.842582293219
2022-11-20,2022-11-20,2022-11-21,16704.48043265009,16746.2736,16248.1492,16291.4477,28445975203.55556,318714896749.2495,-4639.016464460692
2022-11-19,2022-11-19,2022-11-20,16704.62139577964,16807.0579,16565.157,16715.838593288543,33337255479.30313,319762448550.92664,-4270.275451589729
2022-11-18,2022-11-18,2022-11-19,16692.922783418253,16953.88897429152,16561.0259,16711.141784652442,47289260010.59233,321561473484.1119,-4330.622140643412
2022-11-17,2022-11-17,2022-11-18,16670.395122861475,16728.656008038848,16448.1626,16690.889527338422,51656804096.0,319058775211.65137,-4406.524278375011
2022-11-16,2022-11-16,2022-11-17,16898.2358,16988.2412,16414.320759624643,16673.507711410086,57818172615.11112,320803225984.0532,-4479.555974720926
2022-11-15,2022-11-15,2022-11-16,16614.28715429449,17086.6912,16555.1515,16894.9265,68872354801.77777,322602754990.9194,-4313.787066548593
2022-11-14,2022-11-14,2022-11-15,16331.35217790576,17151.974261932253,15838.3193,16630.63746440169,64554331975.11112,315536886023.03705,-4633.725982564483
2022-11-13,2022-11-13,2022-11-14,16800.9926,16933.5745,16272.7358,16349.997597081689,39952276053.333336,319120153090.6926,-4970.015730302064
2022-11-12,2022-11-12,2022-11-13,17047.8221,17068.2517,16639.61702414627,16802.1943,68135292657.77778,322974047734.48645,-4573.468907801336
2022-11-11,2022-11-11,2022-11-12,17592.6207,17675.2616,16453.919131783343,17104.1984,108607980856.88889,328039991720.39703,-4327.114688218913
2022-11-10,2022-11-10,2022-11-11,15897.516595524545,18179.295573160125,15866.931777499693,17590.41467373285,154013330318.22223,325301411702.0083,-3896.548294903645
2022-11-09,2022-11-09,2022-11-10,18545.16181674136,18566.716755985264,15652.5911,15789.342422998145,164641074119.1111,335837205845.98627,-5753.270426055931
2022-11-08,2022-11-08,2022-11-09,20590.7499,20657.6234,17641.1588,18528.52092702272,116085599715.55556,374846106438.49927,-3069.7418024489343
2022-11-07,2022-11-07,2022-11-08,20918.1723,21042.8703,20447.2795,20591.7459,75255069696.0,398070575313.9509,-1062.1667098892358
2022-11-06,2022-11-06,2022-11-07,21302.3297,21350.9881,20913.0539,20913.0539,54828288042.66666,406626646751.1679,-796.5085903068175
2022-11-05,2022-11-05,2022-11-06,21145.628,21461.0794385223,21095.7603,21281.5851,93930901873.77776,408857490033.202,-483.6272707243952
2022-11-04,2022-11-04,2022-11-05,20205.27906093952,21213.064582021158,20190.888425917117,21156.078,86139251797.33333,396750156851.1303,-664.7842511419767
2022-11-03,2022-11-03,2022-11-04,20150.544414721982,20376.986634951623,20063.3165,20208.596506640253,89252131697.77777,388201104277.5447,-1667.9156249193038
2022-11-02,2022-11-02,2022-11-03,20481.979,20732.0272,20073.875475937806,20151.523076525573,69104918001.77777,391180706308.4784,-1780.6389354515668
2022-11-01,2022-11-01,2022-11-02,20495.705989306138,20650.43871945188,20374.129531257524,20481.5549,75086343466.66667,392980109848.0399,-1506.2569923947194
2022-10-31,2022-10-31,2022-11-01,20620.8161,20806.8788,20290.128635933703,20504.46022827177,63533875356.44444,393050043238.5031,-1539.001544540526
2022-10-30,2022-10-30,2022-10-31,20809.808812007188,20910.0964,20520.358146870312,20621.7479,64733978709.333336,397080010238.2528,-1477.3637532298817
2022-10-29,2022-10-29,2022-10-30,20595.37894230647,21003.5573107331,20563.937,20811.988365564037,78150625137.77777,398209829528.50415,-1342.7731680834222
2022-10-28,2022-10-28,2022-10-29,20292.405845082885,20733.95161696074,20074.037,20608.2579,86808559758.22223,390706428379.93945,-1602.1535140650376
2022-10-27,2022-10-27,2022-10-28,20766.8098868083,20860.753363645697,20249.75469915492,20283.97974929017,97985674211.55556,395221750804.9847,-1982.08154519245
2022-10-26,2022-10-26,2022-10-27,20081.820635392454,20943.084644609105,20065.933676103705,20754.023972750903,111641919374.22224,393580944072.768,-1567.6872021492964
2022-10-25,2022-10-25,2022-10-26,19330.2129,20388.4725,19252.5634,20110.87556138642,62423042787.55556,375485658697.5232,-2266.485493931359
2022-10-24,2022-10-24,2022-10-25,19564.5146,19578.3784,19191.1109,19335.3937,57568925283.55556,370900489444.81616,-3097.6172357353607
2022-10-23,2022-10-23,2022-10-24,19203.7979,19669.50723132347,19112.1147,19548.7249,29334480681.923344,369183644189.07056,-2939.935916152939
2022-10-22,2022-10-22,2022-10-23,19162.5376,19248.563896599386,19119.823901167147,19202.852966626622,51155992135.11112,367465072645.9877,-3341.4577299439006
2022-10-21,2022-10-21,2022-10-22,19042.7405,19231.1974,18743.2771,19166.3286,56719066040.888885,365349689963.558,-3433.631976988101
2022-10-20,2022-10-20,2022-10-21,19123.6291,19328.0008,18942.909,19042.9309,50448821589.333336,366446781146.0466,-3612.6795574056814
2022-10-19,2022-10-19,2022-10-20,19329.1763,19337.0797,19115.2331,19124.9892,61076924387.55556,368227529158.4145,-3586.2711378232634
2022-10-18,2022-10-18,2022-10-19,19546.0154,19685.475562085838,19116.7442,19351.0697,62745223680.0,373218777171.6507,-3415.8405182408424
2022-10-17,2022-10-17,2022-10-18,19256.406229271728,19650.7575,19164.44403703787,19558.1117,48744779299.55556,371733239025.5138,-3264.4483986584237
2022-10-16,2022-10-16,2022-10-17,19066.0574,19397.58734710805,19066.0574,19259.62064618116,31434982424.97561,367281364584.8533,-3618.589332894844
2022-10-15,2022-10-15,2022-10-16,19182.2476,19219.5647,19026.2672,19054.8847,55450156103.11112,366826934382.2466,-3878.975159493584
2022-10-14,2022-10-14,2022-10-15,19380.655778675835,19891.3268,19096.9897,19191.0274,94607306808.88889,374023157206.5154,-3798.482339911163
2022-10-13,2022-10-13,2022-10-14,19155.03423228382,19454.676403000394,18290.6714,19380.689298843845,66306380332.5993,364703127203.40576,-3664.4703214848996
2022-10-12,2022-10-12,2022-10-13,19060.6544,19206.1014,19024.1102,19157.97734844041,57228996065.67247,366398495488.1397,-3942.832152305913
2022-10-11,2022-10-11,2022-10-12,19133.077336484497,19256.37997832252,18889.956348357,19045.5416,58945067207.11112,365469491546.38354,-4110.917781163906
2022-10-10,2022-10-10,2022-10-11,19443.0047,19516.1351,19100.813704659344,19135.374021730357,43632528537.4216,370405445216.0032,-4076.7352398511284
2022-10-09,2022-10-09,2022-10-10,19415.1815,19539.48528003435,19330.10300199106,19436.3351,32508420906.666668,372595217766.47504,-3831.424041999064
2022-10-08,2022-10-08,2022-10-09,19533.27670813211,19607.875740305088,19275.3283,19401.0105,47210778231.52613,373494069529.9605,-3922.3985224166463
2022-10-07,2022-10-07,2022-10-08,19956.8027,20042.21700031658,19377.6188439018,19533.02824919708,60960544332.7108,378822333516.15326,-3846.0306536371463
2022-10-06,2022-10-06,2022-10-07,20157.0733,20412.1791,19882.909054930253,19948.22190296553,73072720042.66667,386125302356.6657,-3486.4868802862766
2022-10-05,2022-10-05,2022-10-06,20339.9766,20343.1053,19759.352031250048,20168.6041,69289916686.22223,385619968282.44727,-3321.7545636693867
2022-10-04,2022-10-04,2022-10-05,19621.4414,20373.396966370598,19510.5453,20339.726,68130612935.11112,382009598457.9857,-3206.2825440869674
2022-10-03,2022-10-03,2022-10-04,19057.64369556662,19666.3757,19031.58330119948,19610.3879,57075608007.11112,370126361156.9657,-3991.270524504547
2022-10-02,2022-10-02,2022-10-03,19311.0991,19388.8829,18940.094476728857,19035.34988309635,38546956252.44444,368503905388.90497,-4621.958421825777
2022-10-01,2022-10-01,2022-10-02,19424.060071751013,19470.25237223908,19221.463,19305.1719,68653690678.79298,370380976869.9708,-4407.786285339709
2022-09-30,2022-09-30,2022-10-01,19595.196446577607,20130.3524,19251.1829,19449.60773627301,83393624974.22223,374198583961.64215,-4319.000329484279
2022-09-29,2022-09-29,2022-09-30,19417.118874852276,19595.0236,18900.6111,19593.33746227512,93504140231.11111,371680212221.6552,-4230.920483899747
2022-09-28,2022-09-28,2022-09-29,19109.881484046266,19731.8756,18528.601942108573,19399.488779047188,109016957213.43556,366474053295.3876,-4480.41904754526
2022-09-27,2022-09-27,2022-09-28,19224.7583,20346.1614,18844.26440209939,19098.479820191485,98288909824.0,378214069987.1188,-4837.077886818544
2022-09-26,2022-09-26,2022-09-27,18802.6997,19277.51155653453,18700.5511,19238.7536,67509007649.00349,364325052317.865,-4752.453987427609
2022-09-25,2022-09-25,2022-09-26,18923.4988,19135.6295,18682.763485549985,18814.0516,44811745464.888885,363657781154.9876,-5232.805867845193
2022-09-24,2022-09-24,2022-09-25,19290.27961354254,19294.62788235124,18831.329282068065,18931.734111634152,70758854556.44444,365483878913.8151,-5170.773236628618
2022-09-23,2022-09-23,2022-09-24,19404.73612890737,19466.7087,18568.779495688595,19245.96941762079,77987818268.44444,365154077232.5368,-4912.187811059561
2022-09-22,2022-09-22,2022-09-23,18480.425741563275,19493.936454052386,18374.854404399422,19429.13269379256,99240692195.55556,363556233837.2927,-4784.674415305373
2022-09-21,2022-09-21,2022-09-22,18873.9083,19670.86591446713,18200.895538073728,18501.82049448783,73457138531.55556,364096452308.9282,-5767.63649502768
2022-09-20,2022-09-20,2022-09-21,19537.112899779106,19624.335984835016,18799.074737459803,18873.2005,77663890642.50871,367436797852.7897,-5451.9063699330945
2022-09-19,2022-09-19,2022-09-20,19420.56090741535,19623.12093685087,18391.819388875087,19576.637199316803,79169374904.88889,364027259526.0501,-4804.119551033869
2022-09-18,2022-09-18,2022-09-19,20121.84930436327,20121.84930436327,19374.4683,19393.59390761989,47383656476.44444,380422504433.0691,-5042.812723148363
2022-09-17,2022-09-17,2022-09-18,19803.71232683336,20173.35445935717,19768.490116814355,20123.640551657223,57758805461.333336,382058836181.7728,-4368.415959528611
2022-09-16,2022-09-16,2022-09-17,19702.014,19880.553575179376,19360.1566,19756.26818587181,66830132536.888885,377413510866.0545,-4791.438205731603
2022-09-15,2022-09-15,2022-09-16,20221.790212423784,20288.6975,19652.74183984912,19662.3883,75639756188.44444,382778123467.03,-4940.967972020997
2022-09-14,2022-09-14,2022-09-15,20175.70208744156,20486.084349024823,19748.013188581896,20251.71983492235,84479598023.11111,387241698025.5125,-4407.286317516224
2022-09-13,2022-09-13,2022-09-14,22399.97823239505,22698.77166532257,20032.1647,20172.39245600376,81152505173.33333,412380903690.47406,-4542.263576852394
2022-09-12,2022-09-12,2022-09-13,21818.602960045457,22458.633314149367,21589.69465603349,22387.938627526622,69203768618.66667,423653315759.19147,-2382.36728574711
2022-09-11,2022-09-11,2022-09-12,21648.39,21810.00020825588,21381.9013,21789.45241062056,51346227840.0,413658530577.9497,-3036.5033830707544
2022-09-10,2022-09-10,2022-09-11,21362.69347040769,21767.7515,21166.98724627164,21661.704,62426090339.55556,409414147728.23645,-3219.9016741088926
2022-09-09,2022-09-09,2022-09-10,19324.6317,21396.56902861357,19323.3601,21370.64087141258,60209335509.333336,396784798543.4815,-3566.6146831138976
2022-09-08,2022-09-08,2022-09-09,19283.333150304185,19428.686750062745,19081.5462,19318.4204,49633780892.44444,368644994965.328,-5674.485034944057
2022-09-07,2022-09-07,2022-09-08,18785.90732919724,19446.587,18578.84041503516,19275.303555717022,56371120128.0,361859331726.1365,-5773.251759644612
2022-09-06,2022-09-06,2022-09-07,19786.60740136216,20154.40267481739,18744.9048,18812.061036941635,48719532558.22222,375267536735.2708,-6292.144158837582
2022-09-05,2022-09-05,2022-09-06,20000.399475766444,20040.55328912353,19660.148567918448,19808.0959608095,35287255189.333336,378844293108.78656,-5351.759115387296
2022-09-04,2022-09-04,2022-09-05,19830.80645739004,19999.5965774669,19620.9343,19975.30810008814,30188903488.0,379030074894.12897,-5240.19685652624
2022-09-03,2022-09-03,2022-09-04,19957.5713,20046.5481,19678.207,19834.795622562902,46422244778.66666,379758022134.11896,-5436.359214469056
2022-09-02,2022-09-02,2022-09-03,20123.43013005395,20409.61699052923,19787.50041417901,19927.5466,53777627899.54007,384504946573.6701,-5399.258117449535
2022-09-01,2022-09-01,2022-09-02,20053.474,20185.9976,19619.6549,20145.5884,59976236430.22222,382219556944.8095,-5236.866197867119
2022-08-31,2022-08-31,2022-09-01,19794.2573,20438.013302173287,19794.2573,20046.9471,68910236344.88889,386652241579.5222,-5391.157378284697
2022-08-30,2022-08-30,2022-08-31,20295.057469407144,20558.0115,19595.5805,19768.0653,59130067821.71429,385411494436.5063,-5725.689058702283
2022-08-29,2022-08-29,2022-08-30,19539.5807,20360.7005,19539.5807,20280.87117577155,50011859821.71429,382224120625.5954,-5268.53306334831
2022-08-28,2022-08-28,2022-08-29,20032.7284,20133.3567,19606.7351,19606.7351,41580848931.55556,382562471282.7958,-5998.319019537437
2022-08-27,2022-08-27,2022-08-28,20254.82006359482,20331.54696069997,19870.57393477105,20050.5705,59715633080.888885,384932413807.47296,-5610.133499955016
2022-08-26,2022-08-26,2022-08-27,21563.193109764416,21812.78889629564,20122.77851257181,20215.51485489009,54504579114.66666,404941903812.07947,-5500.83902548251
2022-08-25,2022-08-25,2022-08-26,21367.72490927717,21773.14866176504,21330.7948,21591.28483013928,50399097415.11112,413233152001.3557,-4180.718930650899
2022-08-24,2022-08-24,2022-08-25,21512.99518954893,21826.3262,21172.07432349025,21378.104807932155,50558561664.0,410769202810.8792,-4449.548833275607
2022-08-23,2022-08-23,2022-08-24,21412.8329,21632.790665155884,20946.78339527392,21516.130821435567,56455916259.55556,409246011088.1815,-4367.172700189774
2022-08-22,2022-08-22,2022-08-23,21511.405475999924,21511.405475999924,20931.27811382265,21418.635,48612705848.888885,406816213314.1128,-4520.318402042922
2022-08-21,2022-08-21,2022-08-22,21138.109082009472,21671.110181767843,21085.99915699701,21515.7063463541,42209985479.11112,408762717345.30273,-4478.896936106401
2022-08-20,2022-08-20,2022-08-21,20836.67633236989,21336.823875590573,20829.837923886767,21163.40850256323,61145030798.71777,404934592425.8903,-4886.844660314851
2022-08-19,2022-08-19,2022-08-20,23192.0722,23192.0722,20840.72427084073,20840.72427084073,56799885624.888885,417759707938.0236,-5265.178772454936
2022-08-18,2022-08-18,2022-08-19,23338.393003726764,23575.6112,23140.458575066263,23206.1852,50975738595.55556,447830687692.1133,-2955.3677237132433
2022-08-17,2022-08-17,2022-08-18,23858.86041940708,24416.598,23213.059028209314,23311.75914654047,55592942003.2892,453256684699.5942,-2905.443657590353
2022-08-16,2022-08-16,2022-08-17,24088.5357,24236.6282,23707.5439,23889.74606019501,59133679900.44444,458345123480.8346,-2383.1066243533896
2022-08-15,2022-08-15,2022-08-16,24300.94303970077,25136.0173,23804.7166,24146.6057,59267124807.11112,463905635630.0228,-2181.8968649659837
2022-08-14,2022-08-14,2022-08-15,24443.207718102647,24975.3551,24177.632914818463,24323.00216934842,45036090766.22222,468505617974.2065,-2061.150276035143
2022-08-13,2022-08-13,2022-08-14,24399.2979,24879.86331487425,24334.20220840428,24427.973183996644,55096228622.22222,468930049868.2903,-2011.829141804501
2022-08-12,2022-08-12,2022-08-13,23934.3906,24417.5757,23644.725901721,24395.938,74588843079.11111,458429489535.7914,-2099.514206218726
2022-08-11,2022-08-11,2022-08-12,23956.83580403064,24838.0225842293,23872.7772,23928.9778,86265117553.77777,465824711793.6511,-2622.1242866363027
2022-08-10,2022-08-10,2022-08-11,23145.39408153974,24149.627130637666,22734.43795638149,23940.204499589338,75259928007.11111,447407095340.5513,-2666.5474674645484
2022-08-09,2022-08-09,2022-08-10,23817.559,23892.834,22906.4602,23158.699095578173,70921624871.11111,448026726997.483,-3503.702751893292
2022-08-08,2022-08-08,2022-08-09,23173.56449345656,24223.89166094395,23173.56449345656,23792.955,61125921052.44444,454755111561.97614,-2925.0967278890457
2022-08-07,2022-08-07,2022-08-08,22941.6741,23371.0648,22864.3859,23170.70241754182,37227900821.333336,441070611370.9226,-3602.9991907648073
2022-08-06,2022-08-06,2022-08-07,23296.01435871449,23327.09846022301,22938.3603,22938.3603,46671867100.44444,443172289378.6202,-3890.991188724205
2022-08-05,2022-08-05,2022-08-06,22603.2293453377,23440.18660849424,22603.2293453377,23225.78974753206,129511878926.22224,440925915648.11,-3659.2116216097274
2022-08-04,2022-08-04,2022-08-05,22817.335295209105,23200.519310198488,22449.9977,22635.52000440668,63618554424.888885,436671458582.9739,-4305.1312451526865
2022-08-03,2022-08-03,2022-08-04,22986.79764383069,23567.7332,22722.4086,22812.3048,61731132919.08014,442850015786.80255,-4183.996329976948
2022-08-02,2022-08-02,2022-08-03,23281.93086710305,23423.380366916925,22683.0436,22963.82553778134,64458226289.77778,438874273552.16943,-4088.1254726131883
2022-08-01,2022-08-01,2022-08-02,23311.5556,23475.5943,22864.676618594687,23311.592835340976,63362851484.44444,443686399923.6805,-3796.0080554711312
2022-07-31,2022-07-31,2022-08-01,23635.63635852476,24167.151073084715,23258.2971,23314.4296,70552922680.88889,453330489667.0117,-3848.821171229687
2022-07-30,2022-07-30,2022-07-31,23789.5514,24589.353570680123,23550.6775,23642.243234107824,78457212017.77777,459086809086.1007,-3576.6574175394453
2022-07-29,2022-07-29,2022-07-30,23852.00875970416,24298.65222309941,23452.4636,23746.2734,82637280583.11111,456242554881.8672,-3528.2771320648535
2022-07-28,2022-07-28,2022-07-29,22954.9980721542,24139.4757,22713.8719490485,23847.01344273555,95390300728.88889,445314132645.69946,-3483.186969746879
2022-07-27,2022-07-27,2022-07-28,21279.622352812028,22943.12042341547,21047.5454,22943.12042341547,74499287061.40767,413620711790.04,-4442.729869484541
2022-07-26,2022-07-26,2022-07-27,21317.184,21317.184,20737.035817202937,21206.715243842376,80699937495.86063,401724637843.7146,-6234.784929475212
2022-07-25,2022-07-25,2022-07-26,22583.915772423832,22620.95390299812,21340.4673,21340.4673,63096376192.0,419308316689.9288,-6156.682753735171
2022-07-24,2022-07-24,2022-07-25,22459.036285746173,22990.3936116732,22295.8444,22600.784714066285,64037183873.33798,432554845044.9377,-4952.015220086465
2022-07-23,2022-07-23,2022-07-24,22683.3616,22971.2668,22000.69087729328,22471.31570306779,66410503533.2028,429970549238.5302,-5137.1341115025425
2022-07-22,2022-07-22,2022-07-23,23153.3584,23679.194822511952,22559.0086,22701.085,86243476340.85017,441950488414.3236,-4963.014694987913
2022-07-21,2022-07-21,2022-07-22,23219.1382,23403.2821,22369.096919709784,23180.0875,91477466453.33331,438036787268.61707,-4539.662075405489
2022-07-20,2022-07-20,2022-07-21,23409.933,24237.7006,22966.7746,23244.5742,93750028123.87456,450053895443.8011,-4530.825255823071
2022-07-19,2022-07-19,2022-07-20,22517.09549629813,23695.7738,21620.9054,23407.3451,104199588124.44444,430166512641.932,-4423.704236240654
2022-07-18,2022-07-18,2022-07-19,20787.37682154441,22688.716833031736,20787.37682154441,22440.03658412828,75819726179.55556,416830549514.3218,-5446.662632529955
2022-07-17,2022-07-17,2022-07-18,21207.850954037367,21605.869305574124,20769.40225729633,20769.40225729633,63000171477.333336,405280805586.6238,-7172.946839779484
2022-07-16,2022-07-16,2022-07-17,20825.95712567454,21507.169268836857,20514.6608,21192.11367285276,67204086400.0,398560864419.2178,-6805.885304640633
2022-07-15,2022-07-15,2022-07-16,20587.367,21161.5687287193,20406.85344948328,20831.31137190196,70225059640.19513,396977697387.6409,-7222.337486009012
2022-07-14,2022-07-14,2022-07-15,20241.3541,20748.38330233335,19659.5601076056,20587.5358,67129015438.22222,385428719518.8273,-7521.762938328553
2022-07-13,2022-07-13,2022-07-14,19330.0263,20223.0186,19001.01635110447,20187.1528,55545072384.0,374601942548.6022,-7977.795818746137
2022-07-12,2022-07-12,2022-07-13,19961.3583971162,20043.3868,19313.260763230774,19313.260763230774,48327162040.888885,377450556442.84753,-8907.337735932942
2022-07-11,2022-07-11,2022-07-12,20849.271921637504,20849.271921637504,19930.490384877103,19992.2945670274,49043628074.66666,391019023393.65216,-8283.953812553897
2022-07-10,2022-07-10,2022-07-11,21584.981658562705,21589.42303244173,20701.05219826735,20857.655837364564,54982980252.44444,403608460617.6354,-7474.24242263431
2022-07-09,2022-07-09,2022-07-10,21594.395622244985,21951.0266,21424.16270326956,21592.741748203127,83660958023.11111,412806037389.1603,-6794.80639221333
2022-07-08,2022-07-08,2022-07-09,21654.135499138163,22332.79351897018,21250.88435266647,21801.082205426865,70338781754.87108,415489591997.28784,-6642.115815407171
2022-07-07,2022-07-07,2022-07-08,20562.573465552563,21801.0647,20279.6294,21647.165928409104,44030315825.77778,396814663327.1553,-6851.681972842514
2022-07-06,2022-07-06,2022-07-07,20209.97546716581,20615.7438,19835.7004,20557.53554927252,52267397111.46264,385421461532.8397,-7996.962232396676
2022-07-05,2022-07-05,2022-07-06,20219.6652,20687.75138226261,19354.56272326472,20185.96232827533,47991911817.84615,381901509024.6669,-8424.185333811445
2022-07-04,2022-07-04,2022-07-05,19317.458,20296.167,19071.7771,20255.6454,33124206627.55556,372653433607.4901,-8410.152142504354
2022-07-03,2022-07-03,2022-07-04,19249.34729889521,19567.1081,18973.251867430583,19310.0755,29227636337.77778,365991968153.1942,-9411.371922921939
2022-07-02,2022-07-02,2022-07-03,19266.38852218806,19425.75551364793,19036.13150087182,19246.50948842687,39790523569.77778,367230819438.1408,-9530.587814912651
2022-07-01,2022-07-01,2022-07-02,19922.81904792033,20623.15226158292,19075.4632,19336.1044410867,63618849237.333336,373099100824.934,-9496.6427426704
2022-06-30,2022-06-30,2022-07-01,20117.9242,20145.9851,18703.15968589845,19816.746359929737,46778511125.333336,369357539206.57983,-9071.650704244941
2022-06-29,2022-06-29,2022-06-30,20278.898,20389.37345581186,19907.769822893093,20101.12,45608149548.5993,384572998161.4384,-8842.926944592258
2022-06-28,2022-06-28,2022-06-29,20715.20137276269,21183.62153209416,20223.8036066242,20293.4508,42703964992.0,395180734750.90894,-8706.246025009841
2022-06-27,2022-06-27,2022-06-28,21036.933,21496.338,20647.67840914948,20732.9834,39899888824.888885,401731178345.5015,-8322.363305427421
2022-06-26,2022-06-26,2022-06-27,21504.60596690371,21836.73783767194,21001.37869884742,21029.2163,36017590144.0,407726053064.8783,-8081.780285845001
2022-06-25,2022-06-25,2022-06-26,21221.52690442072,21528.4212,20941.2133,21499.971037134244,45185609102.22222,405779943182.65765,-7666.675429128336
